protocol,src_ip,src_port,dst_ip,dst_port,tcp_flag
TCP,46.228.144.2,443,192.168.1.207,53563,0x40
TCP,192.168.1.207,53563,46.228.144.2,443,0x40
TCP,192.168.1.207,53563,46.228.144.2,443,0x40
TCP,46.228.144.2,443,192.168.1.207,53563,0x40
TCP,192.168.1.207,53563,46.228.144.2,443,0x40
TCP,46.228.144.2,443,192.168.1.207,53563,0x40
TCP,192.168.1.207,53565,199.232.137.44,443,0x40
TCP,192.168.1.207,53565,199.232.137.44,443,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,82.102.152.155,443,192.168.1.207,53578,0x40
TCP,82.102.152.155,443,192.168.1.207,53578,0x40
TCP,192.168.1.207,53578,82.102.152.155,443,0x40
TCP,192.168.1.207,53565,199.232.137.44,443,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,192.168.1.207,53565,199.232.137.44,443,0x40
TCP,192.168.1.207,53565,199.232.137.44,443,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,192.168.1.207,53565,199.232.137.44,443,0x40
TCP,192.168.1.207,53565,199.232.137.44,443,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
TCP,199.232.137.44,443,192.168.1.207,53565,0x40
